자치구,년도,인구수
0,0,169315
1,0,130027
2,0,230260
3,0,337744
4,0,375613
5,0,381110
6,0,427373
7,0,462879
8,0,353260
9,0,381529
10,0,622003
11,0,470751
12,0,349163
13,0,388164
14,0,499755
15,0,553660
16,0,416405
17,0,256902
18,0,408386
19,0,410481
20,0,530020
21,0,401736
22,0,540909
23,0,605840
24,0,464059
0,1,166793
1,1,130649
2,1,232035
3,1,334437
4,1,374442
5,1,378860
6,1,426078
7,1,472843
8,1,348990
9,1,377534
10,1,618093
11,1,464580
12,1,349020
13,1,390583
14,1,501717
15,1,554945
16,1,419832
17,1,253243
18,1,408698
19,1,408582
20,1,535217
21,1,408266
22,1,556964
23,1,607005
24,1,461760
0,2,165846
1,2,130044
2,2,235832
3,2,333535
4,2,376572
5,2,376421
6,2,427071
7,2,469973
8,2,345478
9,2,375975
10,2,616753
11,2,459196
12,2,348575
13,2,392650
14,2,503650
15,2,560424
16,2,420542
17,2,249108
18,2,408178
19,2,405967
20,2,535571
21,2,405969
22,2,560958
23,2,623876
24,2,464546
0,3,170705
1,3,130362
2,3,238224
3,3,314212
4,3,375482
5,3,370250
6,3,427871
7,3,473357
8,3,342274
9,3,373936
10,3,615981
11,3,458401
12,3,331688
13,3,385119
14,3,502343
15,3,576848
16,3,420795
17,3,247320
18,3,408099
19,3,400866
20,3,534556
21,3,406320
22,3,557832
23,3,668962
24,3,469024
0,4,168603
1,4,129465
2,4,238708
3,4,308058
4,4,373998
5,4,362146
6,4,424761
7,4,476028
8,4,340367
9,4,369733
10,4,610616
11,4,465895
12,4,327451
13,4,384013
14,4,501395
15,4,572836
16,4,421967
17,4,244835
18,4,405798
19,4,397920
20,4,529869
21,4,425481
22,4,562138
23,4,681476
24,4,484745
0,5,170578
1,5,132822
2,5,244853
3,5,309093
4,5,375463
5,5,366786
6,5,427455
7,5,488932
8,5,346520
9,5,368298
10,5,611230
11,5,488109
12,5,324541
13,5,391865
14,5,500001
15,5,574127
16,5,423736
17,5,245195
18,5,406833
19,5,402709
20,5,531434
21,5,434720
22,5,570095
23,5,685279
24,5,491871
0,6,168382
1,6,133193
2,6,246501
3,6,300711
4,6,371936
5,6,365486
6,6,423706
7,6,485171
8,6,345054
9,6,365573
10,6,603930
11,6,493634
12,6,314852
13,6,389493
14,6,500210
15,6,569072
16,6,427468
17,6,243438
18,6,397443
19,6,401408
20,6,526397
21,6,433564
22,6,565710
23,6,682209
24,6,495138
0,7,165207
1,7,133360
2,7,243232
3,7,299604
4,7,371313
5,7,363258
6,7,419295
7,7,481857
8,7,343157
9,7,362270
10,7,597189
11,7,501480
12,7,315113
13,7,384644
14,7,495911
15,7,567431
16,7,427520
17,7,243288
18,7,391408
19,7,405491
20,7,523029
21,7,435044
22,7,564197
23,7,673115
24,7,487905
0,8,160070
1,8,130465
2,8,239740
3,8,299337
4,8,368927
5,8,364273
6,8,416798
7,8,476589
8,8,338707
9,8,358582
10,8,590479
11,8,503660
12,8,314110
13,8,381856
14,8,492528
15,8,569070
16,8,424964
17,8,241020
18,8,386471
19,8,410815
20,8,518028
21,8,441763
22,8,563599
23,8,668415
24,8,483379
0,9,156993
1,9,128065
2,9,235951
3,9,296086
4,9,363354
5,9,363687
6,9,418836
7,9,466706
8,9,335025
9,9,353709
10,9,582552
11,9,498644
12,9,310376
13,9,385439
14,9,486221
15,9,585160
16,9,425831
17,9,238463
18,9,382352
19,9,407470
20,9,513186
21,9,449678
22,9,578114
23,9,664738
24,9,476597
0,10,154986
1,10,125733
2,10,233342
3,10,297003
4,10,360369
5,10,360153
6,10,413909
7,10,459275
8,10,330873
9,10,351242
10,10,574583
11,10,497920
12,10,312141
13,10,387643
14,10,484532
15,10,589074
16,10,422092
17,10,236284
18,10,378504
19,10,400641
20,10,509663
21,10,446764
22,10,576495
23,10,660302
24,10,458658
0,11,152737
1,11,125249
2,11,230241
3,11,299259
4,11,357215
5,11,355069
6,11,411005
7,11,450355
8,11,327195
9,11,348220
10,11,567581
11,11,491476
12,11,314194
13,11,379892
14,11,477739
15,11,595485
16,11,417551
17,11,235386
18,11,370613
19,11,400997
20,11,506851
21,11,447192
22,11,567115
23,11,657831
24,11,444168
0,12,154770
1,12,125709
2,12,229161
3,12,304808
4,12,357703
5,12,350647
6,12,408226
7,12,444055
8,12,324479
9,12,344166
10,12,554403
11,12,486794
12,12,312800
13,12,374915
14,12,471154
15,12,601691
16,12,410742
17,12,235154
18,12,368550
19,12,396217
20,12,503297
21,12,441102
22,12,556164
23,12,664496
24,12,436223
0,13,153065
1,13,125725
2,13,228999
3,13,308221
4,13,355559
5,13,348052
6,13,403209
7,13,435868
8,13,319164
9,13,339413
10,13,543752
11,13,483197
12,13,310313
13,13,375077
14,13,464185
15,13,596949
16,13,404497
17,13,233917
18,13,367778
19,13,396203
20,13,501957
21,13,433951
22,13,542364
23,13,666635
24,13,427573
