,,직업유형,,,,,,,,,,,,,,,
년도,자치구,소계,관리자,전문가 및 관련종사자,사무종사자,서비스종사자,판매종사자,농림어업 숙련 종사자,기능원 및 관련기능종사자,장치기계조작 및 조립종사자,단순노무종사자,기타,미상,,,,
2010,합계,4609336,192621,1166525,929604,480995,658545,11299,388647,303590,467694,7631,2185,,,,
2010,종로구,71986,2717,17824,12858,8468,11519,128,7926,2941,7231,319,55,,,,
2010,중구,59446,1572,11395,10352,6771,11646,32,7011,3728,6845,49,45,,,,
2010,용산구,107961,5008,28177,21806,12051,17264,121,7475,4744,10689,592,34,,,,
2010,성동구,142092,4981,32435,27964,14240,21081,305,15060,10180,15715,97,34,,,,
2010,광진구,180414,6418,44713,34641,20682,26444,539,16620,12152,18059,59,87,,,,
2010,동대문구,159172,4249,32597,29048,16340,29871,362,17169,10469,18881,114,72,,,,
2010,중랑구,195893,3873,34367,31129,22404,32293,860,27786,18412,24689,58,22,,,,
2010,성북구,213319,7275,48901,39957,22449,34455,592,23562,13729,22169,174,56,,,,
2010,강북구,152035,3381,27178,26925,17324,25243,297,19868,11798,19933,52,36,,,,
2010,도봉구,160753,5051,34350,30030,16935,26230,407,16085,14273,17298,90,4,,,,
2010,노원구,253521,10543,65122,52302,25329,35305,579,20776,17690,25140,656,79,,,,
2010,은평구,210227,5985,46648,40347,24099,32108,647,19553,16688,23941,151,60,,,,
2010,서대문구,143307,5028,34939,28501,16113,20418,279,11675,9114,17007,76,157,,,,
2010,마포구,178552,7601,49543,39765,20120,23951,286,11845,9472,15836,126,7,,,,
2010,양천구,210559,12049,56088,42963,19649,27541,279,16292,15766,19788,103,41,,,,
2010,강서구,259226,8920,61082,56226,27192,35194,733,21959,20920,26467,506,27,,,,
2010,구로구,199284,6770,47600,41056,19332,26686,318,17276,17889,22190,79,88,,,,
2010,금천구,114995,2612,21530,19840,11809,15698,202,15121,13092,15034,28,29,,,,
2010,영등포구,187716,7821,47937,39601,19088,24339,262,14293,12556,20573,1119,127,,,,
2010,동작구,184831,7267,51811,39880,18280,24300,350,12848,10240,19059,657,139,,,,
2010,관악구,258048,7623,69468,54634,28129,32586,635,20796,14740,28312,673,452,,,,
2010,서초구,183967,17588,68150,41603,15844,19515,671,5266,4559,10240,405,126,,,,
2010,강남구,253471,21760,87726,56902,27229,29820,601,7887,6654,14678,161,53,,,,
2010,송파구,306795,17973,92034,66069,27987,43213,762,16838,15555,24937,1174,253,,,,
2010,강동구,221766,8556,54910,45205,23131,31825,1052,17660,16229,22983,113,102,,,,
2015,합계,4704568,124924,1288705,979576,503786,661439,6284,394439,283597,452881,8937,,,,,
2015,종로구,72265,1687,18433,14768,8377,11196,98,7882,2536,6978,310,,,,,
2015,중구,59861,1163,13541,10866,6639,11824,38,6206,3424,6114,46,,,,,
2015,용산구,106678,4409,30210,20575,13220,14619,71,7811,4693,10382,688,,,,,
2015,성동구,144719,5663,38187,27762,15016,19473,118,14451,9301,14714,34,,,,,
2015,광진구,181481,4807,49051,34033,21340,25678,223,16830,10557,18887,75,,,,,
2015,동대문구,167533,2766,38144,32836,18867,29106,164,17932,9923,17706,89,,,,,
2015,중랑구,201743,3080,40892,32250,22351,31084,303,29460,16418,25765,140,,,,,
2015,성북구,210715,6558,51547,41542,22005,32935,244,22711,12261,20644,268,,,,,
2015,강북구,151430,1920,29202,25675,18490,25320,179,19685,11444,19421,94,,,,,
2015,도봉구,158846,2046,34515,31631,17210,26766,223,16230,13852,16279,94,,,,,
2015,노원구,252322,3882,66046,56480,26348,37229,358,19176,17408,24806,589,,,,,
2015,은평구,228374,3432,54118,48496,26749,34488,548,20526,16027,23779,211,,,,,
2015,서대문구,142557,2024,36422,32710,17583,20519,126,10715,8167,14163,128,,,,,
2015,마포구,187115,3444,56881,45382,20262,24623,193,11502,8592,16097,139,,,,,
2015,양천구,219117,5977,61154,50847,20979,28642,267,16281,15990,18641,339,,,,,
2015,강서구,280164,7441,71563,61844,31503,38767,504,21264,19845,26981,452,,,,,
2015,구로구,204936,4053,53348,42695,20730,26926,162,18496,17432,20991,103,,,,,
2015,금천구,119876,1561,24555,20983,13410,14604,103,17045,11902,15286,427,,,,,
2015,영등포구,185518,5443,54016,41133,18251,24279,148,13664,10092,17516,976,,,,,
2015,동작구,192677,5481,56492,44347,19907,25692,194,13177,9049,17552,786,,,,,
2015,관악구,258981,5914,77409,49292,29538,31199,227,22135,14861,27673,733,,,,,
2015,서초구,196572,9571,79868,47946,15498,21896,404,6095,4946,9639,709,,,,,
2015,강남구,255532,15264,96813,57487,25951,29450,349,8405,6988,14661,164,,,,,
2015,송파구,307353,12231,99409,65162,29277,43410,532,17016,13978,25101,1237,,,,,
2015,강동구,218203,5107,56889,42834,24285,31714,508,19744,13911,23105,106,,,,,
